35	185	227	376	464	582	654	708	853	977	1073	1180
36	173	222	332	411	593	644	714	817	959	1052	1139
37	161	217	389	459	503	634	720	882	941	1031	1199
38	149	212	345	406	514	624	726	846	923	1010	1158
39	137	207	301	454	525	614	732	810	905	1090	1117
40	125	202	358	401	536	604	738	875	988	1069	1177
41	113	298	314	449	547	695	744	839	970	1048	1136
42	101	293	371	497	558	685	750	803	952	1027	1196
43	190	288	327	444	569	675	756	868	934	1006	1155
44	178	283	384	492	580	665	762	832	916	1086	1114
45	166	278	340	439	591	655	768	897	999	1065	1174
